run,cycle,cumulative_time_s,cumulative_groups
sync,0,0.0,0.0
sync,1,208.04509280901402,128.0
sync,2,243.244293352589,256.0
sync,3,276.94688081834465,384.0
sync,4,310.71934556774795,512.0
sync,5,342.0906297788024,640.0
sync,6,375.13348616845906,768.0
sync,7,407.58429119735956,896.0
sync,8,440.6479189954698,1024.0
sync,9,474.6434851931408,1152.0
sync,10,508.50815506465733,1280.0
sync,11,542.2805826682597,1408.0
sync,12,574.6732213618234,1536.0
sync,13,609.3437244528905,1664.0
sync,14,644.6569188591093,1792.0
sync,15,679.8353437734768,1920.0
sync,16,715.8508541956544,2048.0
sync,17,752.8605400398374,2176.0
sync,18,789.1662435149774,2304.0
sync,19,824.2631235923618,2432.0
sync,20,859.6236367151141,2560.0
sync,21,899.5953903533518,2688.0
sync,22,935.3284689188004,2816.0
sync,23,972.2255995804444,2944.0
sync,24,1012.0857284655795,3072.0
sync,25,1052.7115556169301,3200.0
sync,26,1096.2915653195232,3328.0
sync,27,1141.9239431591704,3456.0
sync,28,1186.3067866489291,3584.0
sync,29,1236.9990917025134,3712.0
sync,30,1284.1186200687662,3840.0
sync,31,1329.5575300250202,3968.0
sync,32,1378.7518089544028,4096.0
sync,33,1427.8273019744083,4224.0
sync,34,1473.894244699739,4352.0
sync,35,1519.8509583212435,4480.0
sync,36,1568.472998172976,4608.0
sync,37,1617.5700973533094,4736.0
sync,38,1665.5204049870372,4864.0
sync,39,1711.977215519175,4992.0
sync,40,1758.5371574619785,5120.0
sync,41,1805.0410147719085,5248.0
sync,42,1850.338866638951,5376.0
sync,43,1896.3788840230554,5504.0
sync,44,1948.7171014826745,5632.0
sync,45,1992.6907613165677,5760.0
sync,46,2036.8716834681109,5888.0
sync,47,2080.980982608162,6016.0
sync,48,2126.017652076669,6144.0
sync,49,2171.3736110934988,6272.0
sync,50,2218.187385362573,6400.0
sync,51,2264.111927396618,6528.0
sync,52,2308.382255354896,6656.0
sync,53,2352.5571463545784,6784.0
sync,54,2396.0009926911443,6912.0
sync,55,2439.375791845843,7040.0
sync,56,2483.461205490865,7168.0
sync,57,2529.308331275359,7296.0
sync,58,2572.5781056284904,7424.0
sync,59,2615.406803134829,7552.0
sync,60,2656.968320110813,7680.0
sync,61,2699.1746330885217,7808.0
sync,62,2739.435207827948,7936.0
sync,63,2781.6895327949896,8064.0
sync,64,2824.051017844118,8192.0
sync,65,2866.553570445627,8320.0
sync,66,2907.166802013293,8448.0
sync,67,2950.9603301286697,8576.0
sync,68,2994.3448859862983,8704.0
sync,69,3035.4516946850345,8832.0
sync,70,3077.3861681222916,8960.0
sync,71,3120.1387660503387,9088.0
sync,72,3163.153775674291,9216.0
sync,73,3207.309243440628,9344.0
sync,74,3251.547644940205,9472.0
sync,75,3296.3521521966904,9600.0
sync,76,3340.8110318686813,9728.0
sync,77,3384.5898487344384,9856.0
sync,78,3428.0459309369326,9984.0
sync,79,3472.9487514831126,10112.0
sync,80,3518.047324315645,10240.0
sync,81,3566.896124531515,10368.0
sync,82,3610.2814759351313,10496.0
sync,83,3659.860963420011,10624.0
sync,84,3710.9358479203656,10752.0
sync,85,3764.065866109915,10880.0
sync,86,3818.4816682683304,11008.0
sync,87,3867.780406774953,11136.0
sync,88,3920.0296052824706,11264.0
sync,89,3969.633945271373,11392.0
sync,90,4022.813367650844,11520.0
sync,91,4074.122712574899,11648.0
sync,92,4126.407398851588,11776.0
sync,93,4182.225481200032,11904.0
sync,94,4235.375831916928,12032.0
sync,95,4288.5551620638,12160.0
sync,96,4341.823129590601,12288.0
sync,97,4396.359495932236,12416.0
sync,98,4449.335288256407,12544.0
sync,99,4500.462507322431,12672.0
sync,100,4556.072541960515,12800.0
sync,101,4608.084127690643,12928.0
sync,102,4661.8173422552645,13056.0
sync,103,4720.884533870965,13184.0
sync,104,4780.190194002353,13312.0
streamweave,0,0.0,0.0
streamweave,1,59.37777695339173,261.0
streamweave,2,111.45638092048466,624.0
streamweave,3,164.8593006329611,987.0
streamweave,4,228.0631234124303,1407.0
streamweave,5,298.9611408757046,1834.0
streamweave,6,380.20497838500887,2286.0
streamweave,7,459.5004728604108,2696.0
streamweave,8,541.803126372397,3092.0
streamweave,9,628.297828996554,3488.0
streamweave,10,716.3188589438796,3870.0
streamweave,11,814.4254349637777,4284.0
streamweave,12,896.993312465027,4677.0
streamweave,13,991.1539467871189,5123.0
streamweave,14,1090.7766027115285,5573.0
streamweave,15,1198.6971020745113,5980.0
streamweave,16,1310.275375294499,6423.0
streamweave,17,1413.5585328694433,6873.0
streamweave,18,1544.3928067460656,7362.0
streamweave,19,1661.4941150080413,7787.0
streamweave,20,1768.9038770776242,8155.0
streamweave,21,1876.442569764331,8644.0
streamweave,22,1968.5051098102704,9119.0
streamweave,23,2062.843366132118,9576.0
streamweave,24,2151.236880284734,10026.0
streamweave,25,2243.710735131055,10437.0
streamweave,26,2343.993886520155,10894.0
streamweave,27,2425.778918452561,11312.0
streamweave,28,2519.770709460601,11748.0
streamweave,29,2610.5790895912796,12191.0
streamweave,30,2702.8404009174556,12609.0
streamweave,31,2808.113207956776,13091.0
streamweave,32,2897.67103325855,13502.0
streamweave,33,3016.96327154804,13984.0
streamweave,34,3134.4421856841072,14459.0
streamweave,35,3236.285859542899,14909.0
streamweave,36,3340.003869952634,15352.0
streamweave,37,3436.015303451568,15788.0
streamweave,38,3532.638536178507,16231.0
streamweave,39,3641.0670780986547,16706.0
streamweave,40,3749.011787931435,17181.0
streamweave,41,3855.3408766770735,17624.0
streamweave,42,3976.0639480017126,18099.0
streamweave,43,4074.6534662796184,18567.0
streamweave,44,4164.922257404774,19042.0
streamweave,45,4256.600494433194,19517.0
streamweave,46,4335.572285669856,19921.0
streamweave,47,4420.855538740754,20378.0
streamweave,48,4514.880945673212,20853.0
streamweave,49,4605.0350123904645,21303.0
streamweave,50,4689.254949037917,21739.0
streamweave,51,4781.239278470166,22221.0
streamweave,52,4873.1563422344625,22682.0
streamweave,53,4959.105961567722,23093.0
streamweave,54,5051.127839121968,23547.0
streamweave,55,5140.59819876682,24008.0
streamweave,56,5226.40645450633,24451.0
streamweave,57,5317.765380761586,24933.0
streamweave,58,5421.094288789667,25401.0
streamweave,59,5539.606367903762,25876.0
streamweave,60,5636.978578363545,26305.0
streamweave,61,5737.057360771112,26773.0
streamweave,62,5840.129794287495,27248.0
streamweave,63,5944.090890116058,27716.0
streamweave,64,6043.232967497781,28191.0
streamweave,65,6145.302288605832,28652.0
streamweave,66,6241.320318192244,29095.0
streamweave,67,6320.904119404964,29492.0
streamweave,68,6433.745335923508,29946.0
streamweave,69,6549.389313354157,30396.0
streamweave,70,6664.53541856911,30878.0
streamweave,71,6787.27010288462,31353.0
streamweave,72,6900.0507568260655,31828.0
streamweave,73,7027.943528898992,32296.0
streamweave,74,7156.657881923951,32753.0
streamweave,75,7267.744223584421,33221.0
streamweave,76,7381.377524383366,33710.0
streamweave,77,7482.8788588559255,34157.0
streamweave,78,7591.285069829784,34607.0
streamweave,79,7707.731057162397,35075.0
streamweave,80,7815.473150184378,35543.0
streamweave,81,7920.797831308097,36004.0
streamweave,82,8010.008063404821,36447.0
streamweave,83,8111.579325980507,36908.0
streamweave,84,8259.755377932452,37383.0
streamweave,85,8597.775743158534,37794.0
streamweave,86,9040.213583748788,38255.0
streamweave,87,9232.3012918178,38702.0
streamweave,88,9329.040440675803,39138.0
streamweave,89,9436.558115660213,39606.0
streamweave,90,9567.334586104378,40088.0
streamweave,91,9707.240072195418,40538.0
streamweave,92,9856.775153792463,41013.0
streamweave,93,9972.630188660696,41474.0
streamweave,94,10066.673040514812,41949.0
streamweave,95,10156.131698850542,42417.0
streamweave,96,10239.79574882146,42860.0
streamweave,97,10319.706622194499,43271.0
streamweave,98,10411.199522160925,43725.0
streamweave,99,10498.301613367163,44150.0
streamweave,100,10604.651853522286,44618.0
streamweave,101,10705.31500708405,45086.0
streamweave,102,10796.989804217592,45554.0
