decile,progress_percent,segment_groups,segment_time_s,segment_throughput,segment_relative_throughput,cumulative_throughput,cumulative_relative_throughput
1,10,8617.4,1870.5928167470172,4.606774880588796,1.6542412943334528,4.606774880588796,1.6542412943334528
2,20,8617.4,1891.332074964362,4.556259640530009,1.6361018370635694,4.5813780168693174,1.645121564848006
3,30,8617.399999999998,1771.7433972809808,4.863796875566041,1.7465350157902697,4.671801533790074,1.6775916376313447
4,40,8617.400000000001,2024.516751086739,4.256521955362569,1.5284693893915167,4.560565773028396,1.6376481210436522
5,50,8617.400000000001,2725.7463979289296,3.1614826700487084,1.1352530392033662,4.189740106663511,1.5044887750369056
6,60,8617.400000000001,1693.4427605135286,5.0886869051226835,1.827290508129179,4.31683932913962,1.5501286831608254
7,70,8617.400000000001,1641.5850066836722,5.249438783197016,1.8850147081921589,4.429251831295943,1.590494754411646
8,80,8617.400000000001,1710.1118502771944,5.039085600513905,1.809479234849386,4.497284913774601,1.6149246728110025
9,90,8617.399999999994,1725.5855081851157,4.99389914850603,1.793253285721546,4.5475322068474275,1.6329679133174542
10,100,8617.399999999994,1773.759184376376,4.858269417801339,1.7445501675777855,4.5768056725087245,1.64347968716801
