run_alias,history_index,groups,training_time_s,power_samples,mean_power_watts,throughput_groups_per_s,energy_per_group_joules,trimmed_energy_per_group_joules
sync,1,128,208.045093,14,2235.599429,0.615251,3633.636645,3348.716975
sync,2,128,35.199201,2,3555.649500,3.636446,977.781405,977.781405
sync,3,128,33.702587,2,4946.493000,3.797928,1302.418851,1302.418851
sync,4,128,33.772465,3,3295.976667,3.790070,869.634811,784.254678
sync,5,128,31.371284,2,2648.961000,4.080164,649.228972,649.228972
sync,6,128,33.042856,2,4783.443500,3.873757,1234.833099,1234.833099
sync,7,128,32.450805,2,3220.197000,3.944432,816.390508,816.390508
sync,8,128,33.063628,2,4703.799500,3.871324,1215.036531,1215.036531
sync,9,128,33.995566,2,3878.202000,3.765197,1030.013069,1030.013069
sync,11,128,33.772428,3,3420.409000,3.790074,902.464963,917.839597
sync,12,128,32.392639,2,4540.573000,3.951515,1149.071411,1149.071411
sync,13,128,34.670503,2,4001.270500,3.691899,1083.797353,1083.797353
sync,14,128,35.313194,2,4519.081500,3.624707,1246.743778,1246.743778
sync,15,128,35.178425,3,4746.948000,3.638594,1304.610576,1020.351589
sync,16,128,36.015510,2,3063.599500,3.554024,862.008592,862.008592
sync,17,128,37.009686,3,2960.404333,3.458554,855.965893,622.815185
sync,18,128,36.305703,2,3465.635000,3.525617,982.986849,982.986849
sync,19,128,35.096880,2,3385.990500,3.647048,928.419551,928.419551
sync,21,128,39.971754,2,3440.261500,3.202261,1074.322540,1074.322540
sync,22,128,35.733079,3,3427.179333,3.582115,956.747409,932.987331
sync,23,128,36.897131,2,3424.673500,3.469104,987.192388,987.192388
sync,24,128,39.860129,3,3366.163667,3.211229,1048.247794,628.966676
sync,25,128,40.625827,2,4692.891000,3.150705,1489.473270,1489.473270
sync,26,128,43.580010,3,3510.216000,2.937126,1195.119120,1593.854419
sync,27,128,45.632378,3,3827.133667,2.805026,1364.384449,1690.405805
sync,28,128,44.382843,3,4406.455000,2.883997,1527.898458,1699.978370
sync,29,128,50.692305,4,5479.482250,2.525038,2170.059264,2265.113771
sync,31,128,45.438910,4,3065.851000,2.816969,1088.350996,1487.480702
sync,32,128,49.194279,3,4501.260333,2.601929,1729.970753,751.404562
sync,33,128,49.075493,3,4802.158000,2.608226,1841.158370,1151.284995
sync,34,128,46.066943,3,5325.145000,2.778565,1916.508982,1771.385876
sync,35,128,45.956714,3,4555.313333,2.785230,1635.525237,1811.496605
sync,36,128,48.622040,3,4099.329333,2.632551,1557.169955,1956.131519
sync,37,128,49.097099,4,4539.509500,2.607079,1741.224595,2194.076484
sync,38,128,47.950308,3,4025.022667,2.669430,1507.820899,746.781463
sync,39,128,46.456811,3,4826.251667,2.755247,1751.658275,1234.255469
sync,41,128,46.503857,3,4310.028667,2.752460,1565.882485,706.703497
sync,42,128,45.297852,3,4486.658000,2.825741,1587.781011,1054.027576
sync,43,128,46.040017,3,3811.665333,2.780190,1371.008892,716.026580
sync,44,128,52.338217,3,4411.616667,2.445632,1803.876191,1321.181392
sync,45,128,43.973660,3,4577.973333,2.910833,1572.736266,1623.750407
