run_alias,_timestamp,_runtime,gpu_0_sm_active,gpu_1_sm_active,gpu_2_sm_active,gpu_3_sm_active,gpu_4_sm_active,gpu_5_sm_active,gpu_6_sm_active,gpu_7_sm_active,gpu_0_power_watts,gpu_1_power_watts,gpu_2_power_watts,gpu_3_power_watts,gpu_4_power_watts,gpu_5_power_watts,gpu_6_power_watts,gpu_7_power_watts
streamweave,1783607046.5840003,17.401544405,,,,,,,,,,,,,,,,
streamweave,1783607046.7840242,17.601568243,0,0,0,0,0,0,0,0,192.764,190.401,188.255,187.527,190.709,189.299,188.359,189.938
streamweave,1783607061.5826967,32.400240668,,,,,,,,,,,,,,,,
streamweave,1783607061.7828698,32.600413889,0,0,0,0,0,0,0,0,192.748,190.352,188.249,187.584,190.756,189.303,188.454,189.95
streamweave,1783607076.5821087,47.399652737,,,,,,,,,,,,,,,,
streamweave,1783607076.7825449,47.600088892,0,0,0,0,0,0,0,0,244.254,240.883,188.232,187.594,190.803,189.323,188.399,189.974
streamweave,1783607091.5826464,62.400190275,,,,,,,,,,,,,,,,
streamweave,1783607091.995348,62.812891873,0,0,0,0,0,0,0,0,244.365,240.969,188.282,187.515,190.789,189.319,188.448,189.906
streamweave,1783607106.5824578,77.400001897,,,,,,,,,,,,,,,,
streamweave,1783607107.0629206,77.880464673,0,0,0,0,0,0,0,0,244.389,241.094,188.276,187.598,190.818,189.34,188.428,190.054
streamweave,1783607121.58213,92.399674059,,,,,,,,,,,,,,,,
streamweave,1783607121.7825298,92.600073733,0,0,10.927433696226728,24.91742663725223,0,29.788604950606135,48.85071972317644,23.041136799475044,244.333,241.001,339.643,342.622,245.483,241.953,277.729,348.815
streamweave,1783607136.5827134,107.400257286,,,,,,,,,,,,,,,,
streamweave,1783607136.8043797,107.62192378,0,0,0,0,0,0,0,0,244.42,241.051,238.519,238.931,242.878,241.35,238.491,241.158
streamweave,1783607151.5821464,122.399690311,,,,,,,,,,,,,,,,
streamweave,1783607151.7825866,122.600130577,0,0,0,0,0,0,0,0,244.706,241.133,237.836,238.271,242.352,241.05,238.435,240.576
streamweave,1783607166.5822082,137.399752236,,,,,,,,,,,,,,,,
streamweave,1783607168.8894556,139.706999481,0,0,84.69134489829713,85.3028753192494,85.7254667824283,84.36732138575894,85.15782037568826,85.12888798194696,244.657,241.405,789.467,795.976,815.79,798.524,799.162,803.571
streamweave,1783607181.5818403,152.399384318,,,,,,,,,,,,,,,,
streamweave,1783607181.782186,152.599730133,0,0,84.18214902598586,84.31170195020358,84.64008353058612,82.65481495563492,83.85248979544622,83.77610750928108,244.571,241.102,798.915,805.444,824.414,792.132,801.967,826.343
streamweave,1783607196.581931,167.399475221,,,,,,,,,,,,,,,,
streamweave,1783607196.782403,167.599947038,0,0,74.32592517713525,77.21253868696056,76.95050239133556,71.02213827103789,75.33178490452977,76.3680113207021,244.705,241.139,763.455,791.712,797.642,754.114,771.39,792.233
