run_alias,_step,_timestamp,_runtime,groups,training_time_s,generation_or_interface_time_s,parameter_sync_time_s,rl_groups,expert_groups,carryover_discarded_groups,queue_size,partial_rollouts,validation_time_s
sync,1,1783597683.875701,248.086793452,128,208.04509280901402,31.346475067548454,2.852956191636622,46,82,,,,
sync,2,1783597719.174104,281.864770253,128,35.19920054357499,19.428533700294793,3.155403326265514,55,73,,,,
sync,3,1783597752.9521422,315.710969337,128,33.70258746575564,19.786385413259268,3.376914110966027,43,85,,,,
sync,4,1783597786.7983766,347.15317825,128,33.7724647494033,19.78618721663952,2.9039550330489874,45,83,,,,
sync,5,1783597818.2405624,380.264782178,128,31.371284211054444,19.757612098939717,2.9593740105628967,44,84,,,,
sync,6,1783597851.3521454,412.770330192,128,33.04285638965666,19.986987714655697,2.863689069636166,51,77,,,,
sync,7,1783597883.8578057,445.910525211,128,32.450805028900504,19.534030479379,2.839041461236775,43,85,,,,
sync,8,1783597916.99796,479.965910674,128,33.06362779811025,20.338622396811843,4.173992745578289,32,96,,,,
sync,9,1783597951.0533617,655.274269219,128,33.995566197670996,20.240682885982096,3.144186400808394,45,83,,,,
sync,10,1783598158.5700314,721.301126839,128,33.864669871516526,20.580664630047977,2.8455659514293075,42,86,,,,173.5730781322345
sync,11,1783598192.3883832,753.75585504,128,33.77242760360241,19.87191678211093,3.186119884252548,33,95,,,,
sync,12,1783598224.8431084,788.483902315,128,32.39263869356364,19.989006850868464,2.6481963880360126,43,85,,,,
sync,13,1783598259.5712717,823.871274908,128,34.670503091067076,20.902289165183902,2.93319131154567,42,86,,,,
sync,14,1783598294.95857,859.137132699,128,35.31319440621883,19.64388146623969,2.980565233156085,65,63,,,,
sync,15,1783598330.224562,895.232906159,128,35.1784249143675,19.796983464621007,3.238302992656827,60,68,,,,
sync,16,1783598366.320303,932.340800351,128,36.01551042217761,20.344857880845666,3.0978338830173016,66,62,,,,
sync,17,1783598403.4281435,968.759694503,128,37.00968584418297,20.641262765042484,3.4846294168382883,65,63,,,,
sync,18,1783598439.8470395,1003.926118779,128,36.305703475140035,20.558577238582075,3.063655549660325,59,69,,,,
sync,19,1783598475.0135818,1183.584702517,128,35.09688007738441,22.438539749011397,3.2180684097111225,43,85,,,,
sync,20,1783598686.8848853,1255.871295815,128,35.36051312275231,21.073180759325624,3.239425336010754,51,77,,,,176.43687115516514
sync,21,1783598726.9587061,1291.678300779,128,39.971753638237715,21.66934672743082,4.1256684912368655,63,65,,,,
sync,22,1783598762.7657452,1328.679032692,128,35.73307856544852,20.974124549888074,3.2556734830141068,51,77,,,,
sync,23,1783598799.7662315,1368.660528522,128,36.89713066164404,20.98488057218492,2.990742338821292,59,69,,,,
sync,24,1783598839.7478366,1409.381188136,128,39.860128885135055,21.805631169117987,3.5398252652958035,56,72,,,,
sync,25,1783598880.4684427,1453.087857397,128,40.62582715135068,22.312930963933468,3.0272976756095886,62,66,,,,
sync,26,1783598924.175224,1498.820712472,128,43.58000970259309,24.03543060552329,3.2156343292444944,63,65,,,,
sync,27,1783598969.908035,1543.316007924,128,45.63237783964723,25.626465005800128,3.291762157343328,69,59,,,,
sync,28,1783599014.403349,1594.113801153,128,44.38284348975867,26.033995925448835,3.3277772087603807,59,69,,,,
sync,29,1783599065.2010455,1872.359030081,128,50.69230505358428,27.455127891153097,3.1182058257982135,66,62,,,,
sync,30,1783599375.8809729,1950.320177905,128,47.11952836625278,26.409783529117703,3.494775651022792,55,73,,,,263.42961489316076
sync,31,1783599421.4075663,1999.640766535,128,45.438909956254065,26.54638507962227,3.1593176294118166,52,76,,,,
sync,32,1783599470.7280838,2048.830945761,128,49.19427892938256,27.104239095002413,3.578838160261512,68,60,,,,
sync,33,1783599519.9183698,2095.054078209,128,49.075493020005524,27.08395075146109,3.577103058807552,71,57,,,,
sync,34,1783599566.1413236,2141.122749566,128,46.06694272533059,26.057917973957956,2.915957319550216,73,55,,,,
sync,35,1783599612.2102432,2189.897620184,128,45.956713621504605,25.916517320089042,3.5558267645537853,71,57,,,,
sync,36,1783599660.9849348,2239.108101455,128,48.62203985173255,27.504144048318267,3.4947504056617618,79,49,,,,
sync,37,1783599710.195595,2287.178249561,128,49.097099180333316,26.274230977520347,3.5907650496810675,75,53,,,,
sync,38,1783599758.2656462,2333.744440585,128,47.95030763372779,25.816165174357593,3.1638010507449508,78,50,,,,
sync,39,1783599804.831874,2536.895896042,128,46.45681053213775,26.95150781609118,3.1835583494976163,69,59,,,,
sync,40,1783600039.9135098,2615.434428362,128,46.55994194280356,25.411193002015352,3.268101282417774,71,57,,,,188.38870265893638
sync,41,1783600086.5217397,2660.859468218,128,46.50385730993003,25.172272636555135,3.375075438991189,76,52,,,,
sync,42,1783600131.9468205,2707.018890903,128,45.29785186704248,25.799903930164874,2.9664606722071767,73,55,,,,
sync,43,1783600178.1062648,2759.501159239,128,46.04001738410443,24.26110523752868,3.0192907294258475,81,47,,,,
sync,44,1783600230.588393,2803.584699225,128,52.338217459619045,25.46175756584853,10.406934286467731,71,57,,,,
sync,45,1783600274.6720867,2847.879095567,128,43.97365983389318,24.994248998351395,3.3921788493171334,65,63,,,,
sync,46,1783600318.9664955,2892.107369472,128,44.1809221515432,24.233504792675376,4.018621321767569,68,60,,,,
sync,47,1783600363.1946268,2937.260494169,128,44.10929914005101,24.297164193354547,3.532976339571178,79,49,,,,
sync,48,1783600408.3479474,2982.722240663,128,45.03666946850717,24.3907212568447,3.091786718927324,86,42,,,,
sync,49,1783600453.8095388,3151.110498739,128,45.35595901682973,25.655158191919327,3.389380664564669,73,55,,,,
sync,50,1783600654.6084554,3229.569714955,128,46.8137742690742,24.6074948143214,2.929157259874046,73,55,,,,153.8315789680928
sync,51,1783600700.6569219,3273.942426938,128,45.92454203404486,24.630558747798204,3.5177560821175575,71,57,,,,
sync,52,1783600745.0298803,3318.217992971,128,44.27032795827836,24.990071234293282,3.250903290696442,76,52,,,,
sync,53,1783600789.3054218,3361.754617651,128,44.17489099968225,23.339768005535007,3.0071070650592446,88,40,,,,
sync,54,1783600832.8420618,3405.228373583,128,43.44384633656591,24.57823903579265,3.253418141975999,83,45,,,,
sync,55,1783600876.3158536,3449.415088066,128,43.37479915469885,24.635354307480156,3.063650481402874,79,49,,,,
sync,56,1783600920.502491,3495.378261098,128,44.08541364502162,24.746019604615867,2.985597907565534,86,42,,,,
sync,57,1783600966.4655437,3538.780205481,128,45.84712578449398,24.849865689873695,3.378841510042548,84,44,,,,
sync,58,1783601009.867415,3581.708408032,128,43.26977435313165,24.666517038829625,3.246034214273095,85,43,,,,
sync,59,1783601052.7957678,3740.082992789,128,42.82869750633836,23.93919109366834,3.3691797936335206,82,46,,,,
sync,60,1783601243.490131,3814.708813769,128,41.56151697598398,22.8564946167171,3.1626862324774265,83,45,,,,149.01757856830955
sync,61,1783601285.7962358,3855.070147624,128,42.206312977708876,22.955260938964784,3.164384596981108,86,42,,,,
sync,62,1783601326.1575317,3897.42643546,128,40.260574739426374,22.151536494493484,3.11879516299814,75,53,,,,
sync,63,1783601368.5136878,3939.913077622,128,42.25432496704161,23.97836810629815,2.9979317421093583,80,48,,,,
sync,64,1783601411.0005054,3982.504574383,128,42.36148504912853,23.60406959988177,3.28127930033952,81,47,,,,
sync,65,1783601453.5920084,4023.240538613,128,42.502552601508796,23.19146919902414,3.2373033985495567,79,49,,,,
sync,66,1783601494.3279786,4067.128164149,128,40.613231567665935,22.35195941105485,2.996990030631423,77,51,,,,
sync,67,1783601538.2155693,4110.615018092,128,43.79352811537683,24.184742820449173,2.8245717119425535,82,46,,,,
sync,68,1783601581.7022388,4151.813125454,128,43.384555857628584,24.78178485110402,3.231824303045869,76,52,,,,
sync,69,1783601622.90037,4313.706137572,128,41.10680869873613,22.552845695987344,3.4191534370183945,86,42,,,,
sync,70,1783601817.3022616,4389.053458289,128,41.93447343725711,23.124458000063896,3.31652725674212,80,48,,,,152.31292474363
sync,71,1783601860.1408837,4432.1626224,128,42.75259792804718,24.08839948102832,3.3034466076642275,77,51,,,,
sync,72,1783601903.2500374,4476.398126108,128,43.01500962395221,24.065344404429197,3.4939276184886694,76,52,,,,
sync,73,1783601947.4855492,4520.75487742,128,44.1554677663371,23.900802199728787,3.497220969758928,83,45,,,,
sync,74,1783601991.8423216,4565.665432451,128,44.23840149957687,24.19622932188213,3.1456074081361294,80,48,,,,
sync,75,1783602036.7527294,4610.252024304,128,44.80450725648552,25.09867637231946,2.9862623251974583,76,52,,,,
sync,76,1783602081.3392556,4654.143751718,128,44.45887967199087,24.849771009758115,3.5998460752889514,84,44,,,,
sync,77,1783602125.231069,4697.701821873,128,43.77881686575711,24.374493402428925,3.4611244341358542,77,51,,,,
sync,78,1783602168.7892604,4742.699370382,128,43.456082202494144,24.255737342871726,3.1207590829581022,73,55,,,,
sync,79,1783602213.786786,4921.322944839,128,44.90282054618001,24.31028763949871,2.9626804310828447,82,46,,,,
sync,80,1783602424.5623453,5002.416588339,128,45.09857283253223,24.245062769390643,3.309961834922433,85,43,,,,165.56423390749842
sync,81,1783602473.5039868,5045.946544702,128,48.84880021587014,26.884370036423206,3.5012613739818335,69,59,,,,
sync,82,1783602517.0338542,5095.613225863,128,43.38535140361637,24.37363530229777,3.437312771566212,85,43,,,,
sync,83,1783602566.7005944,5146.789213046,128,49.57948748487979,26.08808843791485,3.431564056314528,75,53,,,,
sync,84,1783602617.8766565,5200.004687291,128,51.07488450035453,27.087150032632053,3.1001664884388447,82,46,,,,
sync,85,1783602671.0920355,5254.504947048,128,53.130018189549446,30.13116778805852,3.0454110633581877,72,56,,,,
sync,86,1783602725.592294,5303.88656792,128,54.41580215841532,30.674767492339015,3.406066675670445,73,55,,,,
sync,87,1783602774.9738276,5356.2165564,128,49.29873850662261,27.31160036381334,3.5714582223445177,66,62,,,,
sync,88,1783602827.3038886,5405.924778023,128,52.249198507517576,28.981624206528068,3.410987952724099,67,61,,,,
sync,89,1783602877.0121248,5615.869078308,128,49.60433998890221,28.872967119328678,3.115292575210333,78,50,,,,
sync,90,1783603119.039144,5699.328527119,128,53.17942237947136,29.635418687015772,3.2592549165710807,73,55,,,,188.71114447992295
sync,91,1783603170.415974,5751.709807898,128,51.30934492405504,28.615511015057564,3.0201410511508584,74,54,,,,
sync,92,1783603222.7972016,5807.614428597,128,52.28468627668917,29.64816710539162,3.3333768090233207,73,55,,,,
sync,93,1783603278.7017577,5860.880650424,128,55.81808234844357,32.26253475807607,3.1263728868216276,65,63,,,,
sync,94,1783603331.968034,5914.146809972,128,53.150350716896355,30.36546141281724,3.215442701242864,73,55,,,,
sync,95,1783603385.2341979,5967.492914544,128,53.17933014687151,30.48549894988537,3.0813358640298247,69,59,,,,
sync,96,1783603438.5803564,6022.109504526,128,53.26796752680093,30.038807089440525,3.8982108971104026,59,69,,,,
sync,97,1783603493.1969295,6075.190311612,128,54.536366341635585,31.464218911714852,3.0767364827916026,63,65,,,,
sync,98,1783603546.2777507,6126.372546983,128,52.97579232417047,31.516805390827358,3.228867296129465,54,74,,,,
sync,99,1783603597.4598994,6362.902266463,128,51.12721906602383,31.170114829204977,3.360167820006609,51,77,,,,
sync,100,1783603866.3820543,6447.374305583,128,55.61003463808447,29.88354167714715,3.4062944762408733,67,61,,,,213.21073984541
sync,101,1783603918.4616833,6501.157799782,128,52.01158573012799,31.603758585639298,3.571167079731822,47,81,,,,
sync,102,1783603972.245274,6560.279933413,128,53.73321456462145,32.38062135595828,3.15976382791996,44,84,,,,
sync,103,1783604031.3673081,6619.636276469,128,59.06719161570072,38.618788436986506,3.2346106991171837,36,92,,,,
sync,104,1783604090.7237473,6680.098002597,128,59.30566013138741,39.296968849375844,2.9214120507240295,27,101,,,,
