run_alias,_timestamp,_runtime,gpu_0_sm_active,gpu_1_sm_active,gpu_2_sm_active,gpu_3_sm_active,gpu_4_sm_active,gpu_5_sm_active,gpu_6_sm_active,gpu_7_sm_active,gpu_0_power_watts,gpu_1_power_watts,gpu_2_power_watts,gpu_3_power_watts,gpu_4_power_watts,gpu_5_power_watts,gpu_6_power_watts,gpu_7_power_watts
sync,1783597486.0915978,15.744826723,,,,,,,,,,,,,,,,
sync,1783597486.9890997,16.64232881,63.64398183212583,63.69922889043386,63.75175838522522,63.936894213370046,62.559872892196985,62.85031373273577,63.58936192297815,62.486107490281384,586.127,581.4,580.201,491.851,526.23,593.213,606.93,606.036
sync,1783597501.09001,30.743238818000002,,,,,,,,,,,,,,,,
sync,1783597501.2905176,30.943746477,39.23379326600345,0,39.14969804183893,50.67921277177195,50.48401543185801,0,39.02684232686065,52.42435204789921,480.755,281.833,455.245,472.083,487.064,418.804,455.804,491.344
sync,1783597516.0894866,45.742715677,,,,,,,,,,,,,,,,
sync,1783597516.2898037,45.943032791,0,0,0,0,0,0,0,0,245.748,242.371,238.872,239.541,243.92,242.025,239.33,241.567
sync,1783597531.0903027,60.743531756,,,,,,,,,,,,,,,,
sync,1783597531.2906682,60.943897262,0,0,0,0,0,0,0,0,245.04,241.747,238.327,238.714,242.791,241.418,238.535,241.094
sync,1783597546.0896285,75.74285738,,,,,,,,,,,,,,,,
sync,1783597546.2899923,75.943221434,0,0,0,0,0,0,0,0,244.895,241.52,237.969,238.485,242.513,241.214,238.424,240.688
sync,1783597561.090373,90.743602152,,,,,,,,,,,,,,,,
sync,1783597561.2908072,90.944036151,0,0,0,0,0,0,0,0,244.818,241.386,237.874,238.37,242.391,241.143,238.434,240.638
sync,1783597576.0903692,105.743598312,,,,,,,,,,,,,,,,
sync,1783597576.2907789,105.944007944,0,0,0,0,0,0,0,0,244.828,241.3,237.783,238.316,242.386,241.028,238.308,240.529
sync,1783597591.0895357,120.742764697,,,,,,,,,,,,,,,,
sync,1783597591.290273,120.943501911,0,0,0,0,0,0,0,0,244.813,241.155,237.759,238.201,242.379,241.027,238.333,240.506
sync,1783597606.0899377,135.743166635,,,,,,,,,,,,,,,,
sync,1783597606.290266,135.943495106,0,0,0,0,0,0,0,0,244.75,241.239,237.783,238.182,242.391,241.014,238.364,240.516
sync,1783597621.0898898,150.743118649,,,,,,,,,,,,,,,,
sync,1783597621.2902868,150.943515882,0,0,0,0,0,0,0,0,244.733,241.193,237.793,238.255,242.361,241.095,238.215,240.521
sync,1783597636.0893395,165.742568379,,,,,,,,,,,,,,,,
sync,1783597636.2897973,165.943026244,0,0,0,0,0,0,0,0,244.599,241.232,237.764,238.207,242.361,241.003,238.244,240.506
sync,1783597651.0900636,180.74329251,,,,,,,,,,,,,,,,
sync,1783597651.2903836,180.943612518,0,0,0,0,0,0,0,0,244.697,241.247,237.787,238.221,242.347,240.998,238.215,240.523
sync,1783597666.0899272,195.743156261,,,,,,,,,,,,,,,,
sync,1783597666.2902744,195.9435034,0,0,0,0,0,0,0,0,244.657,241.193,237.831,238.255,242.256,240.987,238.192,240.515
sync,1783597681.090177,210.743405941,,,,,,,,,,,,,,,,
sync,1783597681.301224,210.954453009,0.1252448610973421,0.015060860114371485,0.12756919481493895,0.09996035841820246,0.008634945213609486,0.017324082659987475,1.1095431570902516,0.017555607776515155,254.782,249.812,247.4,247.669,252.848,251.588,249.697,248.981
sync,1783597696.0904248,225.743653707,,,,,,,,,,,,,,,,
sync,1783597696.2908678,225.94409674,52.819031506034264,52.3951738465877,51.917344236896966,37.70674530688964,51.369121495383666,52.511288657100096,44.05857788711475,51.448434179066446,509.289,488.754,485.347,465.285,484.417,503.048,458.873,503.122
sync,1783597711.090196,240.743424849,,,,,,,,,,,,,,,,
sync,1783597711.3082654,240.961494505,29.325246229754555,43.728795506591105,57.71322670424451,35.34863789599341,46.815603790562186,40.06258282012001,39.76493566725705,47.11542637405369,391.169,411.235,438.279,343.667,431.086,403.658,408.558,385.512
sync,1783597726.090035,255.743264043,,,,,,,,,,,,,,,,
sync,1783597726.2903774,255.943606274,60.747129963184,60.9397776185429,59.64998843959026,57.97840080184251,59.78888398075366,51.96275917118065,61.81423444415993,60.824659943644676,597.348,578.82,587.803,556.103,558.814,523.886,593.391,584.661
sync,1783597741.0899777,270.743206812,,,,,,,,,,,,,,,,
sync,1783597741.2902777,270.94350674,76.70099109673849,74.10775728768738,64.79905618112755,69.45999970519821,68.02933086982027,74.9561402012802,68.97971151551097,84.46015213423095,692.413,674.406,608.003,639.476,656.925,684.657,626.324,729.956
sync,1783597756.0905883,285.743817263,,,,,,,,,,,,,,,,
sync,1783597756.2909498,285.944178803,63.94745299924308,63.87890874521025,65.34203886131951,65.49555477875823,60.476435425648035,61.91764768258865,63.6202739402091,62.69820456215084,635.359,621.891,617.224,625.522,614.792,615.354,617.287,620.471
sync,1783597771.0902603,300.743489176,,,,,,,,,,,,,,,,
sync,1783597771.3284016,300.981630662,0,8.354004938692874,48.41810579482365,47.21554767378498,0,0,0,2.5846202718603943,246.308,455.993,474.274,467.266,288.261,352.02,251.741,436.517
sync,1783597786.0894203,315.742649353,,,,,,,,,,,,,,,,
sync,1783597786.3174698,315.97069893,0,0,0,0,0,0,0,0,247.311,244.651,241.504,241.201,245.497,243.57,241.279,242.637
sync,1783597801.0899203,330.743149318,,,,,,,,,,,,,,,,
